Year,Nombre,Value
2019,Nombre de ejemplo 1,2319
2019,Nombre de ejemplo 2,10055
2019,Nombre de ejemplo 3,7387
2019,Nombre de ejemplo 4,9837
2019,Nombre de ejemplo 5,15173
2019,Nombre de ejemplo 6,8499
2019,Nombre de ejemplo 7,14451
2019,Nombre de ejemplo 8,19721
2019,Nombre de ejemplo 9,16361
2019,Nombre de ejemplo 10,1070
2019,Nombre de ejemplo 11,8260
2019,Nombre de ejemplo 12,4515
2019,Nombre de ejemplo 13,7105
2019,Nombre de ejemplo 14,3996
2019,Nombre de ejemplo 15,2150
2019,Nombre de ejemplo 16,1632
2019,Nombre de ejemplo 17,16080
2019,Nombre de ejemplo 18,4722
2020,Nombre de ejemplo 1,9875
2020,Nombre de ejemplo 2,12415
2020,Nombre de ejemplo 3,5963
2020,Nombre de ejemplo 4,6747
2020,Nombre de ejemplo 5,12154
2020,Nombre de ejemplo 6,5661
2020,Nombre de ejemplo 7,6716
2020,Nombre de ejemplo 8,10085
2020,Nombre de ejemplo 9,6740
2020,Nombre de ejemplo 10,1692
2020,Nombre de ejemplo 11,16358
2020,Nombre de ejemplo 12,7005
2020,Nombre de ejemplo 13,3722
2020,Nombre de ejemplo 14,11770
2020,Nombre de ejemplo 15,17823
2020,Nombre de ejemplo 16,5978
2020,Nombre de ejemplo 17,14465
2020,Nombre de ejemplo 18,16352
2021,Nombre de ejemplo 1,6071
2021,Nombre de ejemplo 2,16810
2021,Nombre de ejemplo 3,3641
2021,Nombre de ejemplo 4,9074
2021,Nombre de ejemplo 5,17760
2021,Nombre de ejemplo 6,3538
2021,Nombre de ejemplo 7,17915
2021,Nombre de ejemplo 8,2686
2021,Nombre de ejemplo 9,14918
2021,Nombre de ejemplo 10,957
2021,Nombre de ejemplo 11,159
2021,Nombre de ejemplo 12,15475
2021,Nombre de ejemplo 13,4756
2021,Nombre de ejemplo 14,6278
2021,Nombre de ejemplo 15,17085
2021,Nombre de ejemplo 16,5234
2021,Nombre de ejemplo 17,2510
2021,Nombre de ejemplo 18,14239
